iShares Semiconductor ETF
Fund Holdings as of,"Aug 03, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"88,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,956,747,679.36","8.87","3,956,747,679.36","19,148,024.00","206.64","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","3,796,485,596.80","8.51","3,796,485,596.80","7,833,620.00","484.64","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","3,549,351,242.34","7.96","3,549,351,242.34","9,049,158.00","392.23","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","3,453,741,039.00","7.74","3,453,741,039.00","4,163,642.00","829.50","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","2,327,598,254.52","5.22","2,327,598,254.52","4,491,612.00","518.21","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","2,320,594,549.00","5.20","2,320,594,549.00","25,501,039.00","91.00","United States","NASDAQ","USD","1.00","USD","-"
"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","2,039,388,984.15","4.57","2,039,388,984.15","5,021,765.00","406.11","Taiwan","NYSE","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","1,922,344,874.25","4.31","1,922,344,874.25","10,518,987.00","182.75","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","1,910,815,662.55","4.28","1,910,815,662.55","9,861,002.00","193.78","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","1,871,722,438.81","4.20","1,871,722,438.81","6,353,221.00","294.61","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,779,174,433.92","3.99","1,779,174,433.92","6,613,048.00","269.04","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","1,767,665,827.12","3.96","1,767,665,827.12","4,884,674.00","361.88","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","1,601,979,523.77","3.59","1,601,979,523.77","1,191,621.00","1,344.37","United States","NASDAQ","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","1,430,980,336.00","3.21","1,430,980,336.00","3,911,920.00","365.80","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","1,410,130,624.84","3.16","1,410,130,624.84","6,290,452.00","224.17","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,220,596,089.83","2.74","1,220,596,089.83","8,053,019.00","151.57","United States","NASDAQ","USD","1.00","USD","-"
"ALAB","ASTERA LABS","Information Technology","Equity","1,129,975,606.25","2.53","1,129,975,606.25","3,519,625.00","321.05","United States","NASDAQ","USD","1.00","USD","-"
"ASML","ASML HOLDING ADR REPRESENTING","Information Technology","Equity","1,070,044,291.80","2.40","1,070,044,291.80","651,465.00","1,642.52","Netherlands","NASDAQ","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","1,005,465,965.66","2.25","1,005,465,965.66","13,367,003.00","75.22","United States","NASDAQ","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","908,368,097.45","2.04","908,368,097.45","4,160,147.00","218.35","United States","NASDAQ","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","787,819,178.40","1.77","787,819,178.40","9,798,746.00","80.40","United States","NASDAQ","USD","1.00","USD","-"
"ASX","ASE TECHNOLOGY HOLDING ADR REPRESE","Information Technology","Equity","556,138,345.28","1.25","556,138,345.28","15,161,896.00","36.68","Taiwan","NYSE","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","477,307,221.60","1.07","477,307,221.60","3,812,358.00","125.20","United States","NASDAQ","USD","1.00","USD","-"
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","Information Technology","Equity","444,466,159.80","1.00","444,466,159.80","1,735,518.00","256.10","United States","NASDAQ","USD","1.00","USD","-"
"UMC","UNITED MICRO ELECTRONICS ADR REP","Information Technology","Equity","392,858,977.98","0.88","392,858,977.98","21,019,742.00","18.69","Taiwan","NYSE","USD","1.00","USD","-"
"NVMI","NOVA","Information Technology","Equity","314,379,181.05","0.70","314,379,181.05","798,545.00","393.69","Israel","NASDAQ","USD","1.00","USD","-"
"STM","STMICROELECTRONICS ADR","Information Technology","Equity","309,400,795.26","0.69","309,400,795.26","5,928,354.00","52.19","France","NYSE","USD","1.00","USD","-"
"ARM","ARM HOLDINGS AMERICAN DEPOSITARY S","Information Technology","Equity","299,822,597.38","0.67","299,822,597.38","1,254,173.00","239.06","United Kingdom","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","248,874,974.42","0.56","248,874,974.42","2,699,002.00","92.21","United States","NASDAQ","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","230,934,529.71","0.52","230,934,529.71","3,767,899.00","61.29","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","52,164,774.13","0.12","52,164,774.13","52,164,774.00","1.00","United States","-","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","9,419,261.44","0.02","9,419,261.44","9,419,261.00","100.00","United States","-","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","5,510,000.00","0.01","5,510,000.00","5,510,000.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"IXTU6","EMINI TECHNOLOGY SELECT SECTOR SEP","Cash and/or Derivatives","Futures","0.00","0.00","69,874,920.00","194.00","3,601.80","-","Chicago Mercantile Exchange","USD","1.00","USD","-"

